-72817	-72505	-72121	-72193	-72481	-72641	-72337	-71737	-71705	-72393	-72841	-72737	-71873	-71705	-72337	-72817	-72633	-71977	-71897	-72569	-73025	-72729	-71889	-72057	-72593	-72929	-72673	-71953	-71881	-72329	-72361	-72353	-71961	-72353	-73089	-72953	-71721	-71145	-72201	-73185	-72929	-71729	-71377	-72553	-73473	-72961	-71505	-70913	-72265	-73489	-73009	-71633	-70961	-72009	-73289	-72841	-71441	-71049	-72193	-73209	-72769	-71345	-70833	-72193	-73297	-72721	-71425	-71097	-72273	-73393	-72857	-71409	-71193	-72249	-73169	-72961	-71817	-71073	-72097	-73369	-72913	-71465	-71073	-72257	-73321	-72801	-71673	-71185	-72377	-73401	-72953	-71457	-71081	-72409	-73393	-72761	-71465	-71169	-72425	-73497	-73217	-71889	-71169	-72361	-73633	-73049	-71529	-71017	-72345	-73489	-73009	-71545	-71449	-72665	-73641	-73161	-71737	-70937	-72177	-73417	-73169	-71673	-70993	-72353	-73617	-73033	-71761	-71193	-72433	-73497	-72897	-71801	-71153	-72489	-73729	-73273	-71769	-70889	-72273	-73705	-73305	-71737	-71025	-72201	-73257	-73121	-71785	-71065	-72193	-73401	-73129	-71577	-71105	-72529	-73761	-73265	-71553	-70617	-72121	-73497	-72993	-71401	-70785	-72001	-73329	-72905	-71585	-70993	-72105	-73209	-73017	-71489	-71121	-72225	-73369	-72993	-71633	-71065	-72241	-73465	-73089	-71713	-71025	-72137	-73273	-73009	-71721	-71065	-72185	-73321	-73057	-71569	-71089	-72369	-73633	-73065	-71289	-70737	-72209	-73745	-73329	-71625	-70737	-71865	-73305	-73121	-71577	-70785	-72097	-73393	-73009	-71449	-70673	-72041	-73353	-72929	-71297	-70521	-72017	-73265	-72929	-71465	-70857	-72161	-73313	-73081	-71609	-70945	-72217	-73353	-72809	-71321	-70545	-71953	-73361	-72905	-71353	-70881	-71977	-73409	-73217	-71921	-71057	-72081	-73257	-73049	-71801	-71137	-72361	-73561	
-160409	-159961	-159545	-159417	-159569	-159729	-159769	-159105	-159001	-159657	-160145	-159913	-158921	-158985	-159889	-160273	-159929	-159241	-159097	-159849	-160353	-159745	-158721	-159305	-160145	-160441	-160081	-159129	-159129	-159953	-160025	-159289	-158993	-159793	-160737	-160297	-159033	-158633	-159737	-160321	-159849	-159209	-158561	-159473	-160561	-159921	-158497	-158489	-159985	-161121	-160353	-158785	-158233	-159521	-160609	-159785	-158681	-158633	-159585	-160393	-160081	-158465	-158273	-159529	-160545	-159993	-158561	-158281	-159633	-160761	-160377	-158769	-158337	-159729	-160705	-160057	-158713	-158497	-159657	-160801	-159913	-158649	-158289	-159657	-160689	-159945	-158737	-158305	-159721	-160657	-159681	-158553	-158465	-160001	-161081	-160153	-158777	-158313	-159857	-161097	-160481	-159041	-158561	-159801	-160865	-159961	-158713	-158601	-160121	-161049	-160025	-158185	-158337	-160273	-161145	-160377	-159017	-158297	-159673	-160937	-160417	-158889	-158425	-160073	-161241	-160185	-159001	-158617	-160049	-161153	-160265	-158657	-158185	-159961	-161137	-160601	-159001	-158465	-159889	-161273	-160585	-159041	-158369	-159705	-160665	-160041	-158977	-158505	-159825	-160865	-160329	-158785	-158297	-159993	-160985	-160193	-158553	-158089	-159905	-161081	-160153	-158337	-157449	-159369	-161137	-160321	-158673	-158305	-159737	-160729	-159929	-158449	-158201	-159529	-160777	-160369	-158769	-158505	-159673	-161073	-160497	-159001	-158385	-159761	-160921	-160097	-158433	-158217	-159897	-161081	-160161	-158529	-158289	-159857	-161065	-160257	-158473	-157817	-159617	-161121	-160561	-158857	-158073	-159457	-160833	-160241	-158769	-158105	-159729	-160753	-160065	-158345	-157937	-159817	-160929	-159993	-158377	-157825	-159657	-161169	-160089	-158433	-158137	-159633	-160641	-160137	-158769	-158433	-159993	-160977	-160209	-158353	-157849	-159425	-160641	-160009	-158121	-158153	-159961	-161257	-160473	-158881	-158225	-159505	-160297	-160161	-159193	-158481	-159897	-160953	


-73097	-71505	-70713	-72001	-73385	-72977	-71369	-70369	-71761	-73449	-73545	-71897	-70905	-72193	-73313	-73121	-71881	-71017	-72153	-73497	-73217	-71753	-70865	-72089	-73425	-72969	-71369	-70785	-72297	-73553	-73169	-71505	-70737	-72193	-73353	-72945	-71409	-70833	-72049	-73297	-72857	-71353	-70601	-71945	-73153	-72833	-71481	-70817	-72041	-73377	-73017	-71369	-70497	-71689	-73057	-73209	-71801	-70897	-71929	-73289	-73089	-71617	-70761	-71857	-73193	-72985	-71593	-70841	-71977	-73249	-73097	-71489	-70689	-71841	-73017	-73097	-71609	-70833	-72033	-73369	-72985	-71345	-70793	-72049	-73233	-72937	-71601	-70801	-71945	-73217	-73129	-71737	-70921	-71985	-73217	-73017	-71617	-70945	-72057	-73281	-73057	-71721	-70921	-71897	-72977	-72993	-71761	-70793	-71921	-73417	-73081	-71633	-70913	-72089	-73473	-73241	-71737	-70753	-72057	-73385	-73001	-71473	-70937	-72121	-73257	-73017	-71593	-70697	-71905	-73185	-72865	-71433	-70625	-72113	-73497	-73305	-71721	-70849	-72057	-73385	-73233	-71673	-70777	-71921	-73257	-73113	-71561	-70913	-72121	-73361	-73081	-71649	-70817	-71777	-73281	-73009	-71617	-71257	-72481	-73657	-73425	-71905	-70961	-72041	-73353	-73249	-71641	-70889	-72097	-73377	-73249	-71761	-70921	-71905	-73265	-73121	-71825	-71201	-72305	-73505	-73401	-71857	-70849	-72121	-73465	-73553	-72209	-71225	-72265	-73617	-73473	-71969	-71137	-72041	-73441	-73545	-71945	-70953	-72241	-73489	-73241	-71985	-71201	-72209	-73529	-73537	-71905	-71097	-72249	-73553	-73417	-72105	-71105	-72129	-73321	-73273	-71793	-70841	-72097	-73353	-73289	-71913	-71161	-72217	-73289	-73161	-72121	-71169	-72217	-73409	-73577	-72097	-71009	-71993	-73513	-73481	-71969	-70953	-71833	-73073	-73297	-71761	-70841	-72217	-73537	-73209	-72001	-71497	-72345	-73657	
-160105	-158473	-157873	-159633	-161089	-160353	-158497	-157569	-159217	-161185	-160833	-159025	-158265	-159681	-160401	-160009	-158945	-158273	-159625	-160913	-160281	-158785	-158161	-159609	-160793	-160321	-158353	-157673	-159673	-161161	-160321	-158289	-158049	-159865	-160713	-159985	-158593	-158057	-159737	-160921	-159881	-158105	-157857	-159721	-160865	-160025	-158137	-157833	-159625	-161105	-160241	-158577	-157841	-159561	-161089	-160689	-159065	-158113	-159201	-160617	-160353	-158889	-158217	-159481	-160297	-159921	-158953	-158265	-159441	-160609	-160345	-158665	-158289	-159737	-160401	-160345	-159041	-158177	-159633	-160961	-160297	-158369	-157417	-159193	-160553	-160297	-158873	-157873	-159297	-160881	-160393	-158777	-158105	-159553	-160625	-160009	-158921	-158425	-159609	-160761	-160225	-158721	-157953	-159113	-160441	-160409	-158801	-157633	-159257	-160825	-159801	-158409	-157921	-159561	-160985	-160505	-158673	-157817	-159409	-160769	-160041	-158281	-157969	-159425	-160337	-160065	-158305	-157657	-159289	-160889	-160305	-158577	-157745	-159337	-160689	-160049	-158329	-158057	-159393	-160497	-160001	-158545	-158249	-159489	-160761	-160337	-158425	-157785	-159585	-160833	-160201	-158601	-157961	-159409	-160809	-160065	-158209	-158257	-159897	-160833	-160225	-158761	-158145	-159705	-160945	-160257	-158281	-157897	-159633	-160729	-160289	-158857	-158073	-159065	-160441	-160385	-158833	-158273	-159737	-160857	-160609	-159065	-158185	-159481	-160737	-160441	-158841	-157913	-159497	-160961	-160673	-159161	-158161	-159449	-160937	-160537	-158713	-158129	-159745	-160665	-159841	-158801	-158385	-159809	-161177	-160505	-158689	-158217	-159761	-160713	-160009	-159073	-158137	-159369	-160505	-160345	-158977	-157929	-159305	-160569	-160129	-158545	-158121	-159577	-160585	-160297	-159073	-158217	-159473	-160929	-160601	-158921	-157817	-159225	-160745	-160601	-158977	-157929	-159273	-160649	-160337	-158705	-157753	-159625	-161065	-160449	-158617	-158425	-159617	-160817	


-73745	-72249	-71209	-72129	-73505	-73529	-72033	-71089	-72025	-73273	-73521	-72241	-71233	-72049	-73329	-73249	-71745	-71025	-72393	-73657	-73441	-71993	-71337	-72305	-73577	-73497	-72041	-70977	-71785	-73177	-73457	-72097	-70913	-71841	-73481	-73441	-71961	-70961	-71961	-73337	-73569	-71865	-70825	-72001	-73521	-73633	-72273	-71305	-72241	-73617	-73705	-72121	-71113	-72193	-73537	-73545	-72137	-71217	-72297	-73625	-73825	-72337	-71153	-72153	-73841	-73817	-72169	-71225	-72273	-73609	-73625	-72105	-71233	-72233	-73249	-73425	-72217	-71249	-71937	-73361	-73457	-72129	-71089	-72193	-73553	-73489	-72065	-71417	-72545	-73785	-73769	-72281	-71185	-72169	-73457	-73561	-72249	-71305	-72193	-73481	-73465	-72089	-71241	-72025	-73297	-73313	-72009	-71305	-72185	-73809	-73881	-72249	-71201	-71713	-73257	-73681	-72185	-71161	-72049	-73361	-73369	-71881	-71281	-72249	-73433	-73377	-72009	-70937	-71689	-73009	-73137	-71849	-71305	-72273	-73625	-73609	-72073	-71033	-71969	-73305	-73497	-72089	-71025	-71873	-73321	-73545	-72185	-71201	-72033	-73401	-73505	-72153	-71009	-71897	-73329	-73529	-72177	-71081	-72121	-73641	-73705	-72217	-71193	-72049	-73385	-73657	-72257	-71137	-72081	-73513	-73721	-72217	-71137	-72009	-73369	-73561	-72097	-70953	-71873	-73369	-73713	-72433	-71265	-71985	-73497	-73585	-72145	-71249	-72153	-73433	-73473	-72177	-71289	-72009	-73409	-73489	-72217	-71169	-71961	-73321	-73441	-72297	-71401	-72081	-73257	-73681	-72329	-71505	-72273	-73657	-73705	-72097	-71233	-72049	-73425	-73745	-72321	-71089	-71737	-73153	-73425	-72017	-71001	-71985	-73449	-73649	-72217	-71089	-71705	-73049	-73681	-72305	-71137	-71889	-73265	-73609	-72153	-71313	-72113	-73545	-73753	-72025	-71065	-72065	-73369	-73537	-72105	-71305	-72201	-73497	
-160625	-159185	-158313	-159289	-160273	-160337	-158897	-158321	-159697	-160881	-160609	-159105	-158225	-159337	-160881	-160537	-158657	-157985	-159497	-160721	-160313	-158753	-158297	-159777	-160897	-160753	-159209	-158113	-159329	-160705	-160425	-158937	-158001	-159065	-160745	-160505	-158681	-157857	-159497	-160801	-160561	-158705	-157449	-159073	-161193	-160937	-159145	-158049	-159145	-161025	-161001	-159145	-158297	-159729	-160897	-160377	-158913	-158409	-159569	-160945	-160777	-158969	-157825	-159561	-161137	-160585	-158817	-158353	-159681	-161057	-160617	-158897	-157857	-159401	-160617	-160409	-159081	-158369	-159257	-160433	-160201	-158953	-158273	-159345	-160721	-160689	-159321	-158249	-159417	-160897	-160617	-158945	-157881	-159377	-160777	-160481	-159185	-158361	-159345	-160513	-160273	-159321	-158313	-159329	-160497	-160401	-158761	-158233	-159641	-161113	-160729	-158801	-157921	-158905	-160633	-160601	-158977	-157969	-159017	-160361	-160041	-158097	-158217	-159937	-160849	-160569	-158857	-157705	-158929	-160161	-160081	-158745	-158369	-159465	-160625	-160057	-158809	-158009	-159161	-160617	-160633	-158889	-157993	-159129	-160481	-160641	-158945	-157833	-159097	-160345	-160249	-159201	-158073	-159009	-160521	-160881	-158849	-157889	-159785	-160953	-160681	-159225	-158137	-159145	-160361	-160497	-159097	-158001	-158961	-160209	-160817	-159049	-158049	-159393	-160673	-160513	-158801	-157865	-159313	-161017	-160673	-159049	-158217	-159257	-160497	-160225	-158569	-157953	-159401	-160729	-160817	-159185	-158177	-159217	-160529	-159977	-158881	-158417	-159569	-160801	-160401	-159033	-158257	-158937	-160249	-160553	-158841	-158377	-159329	-160993	-160689	-158777	-158105	-159073	-160705	-160569	-159025	-157985	-158985	-160441	-160409	-158697	-157649	-159025	-160865	-160657	-158953	-158009	-158777	-160233	-160833	-159137	-157809	-158937	-160457	-160689	-159169	-158121	-158769	-160377	-160729	-159089	-158121	-159041	-160689	-160353	-158817	-158257	-159497	-160689	
